ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.9405,1.7873,8.7221,1.9881,2.4741,9.2788,-0.0608,-0.6832,-0.941,0.0575,-0.0053,0.0341,791,-43.26,29.94,-49.92,34.99,-14.18,-13.25,3.1,987.89,44.43,42.394703,-83.281746,535.48,623.6539435,,0,14.680644,,0 / 20,16,2018-07-24 07:55:32:669
2.0267,2.2242,9.1075,1.8453,2.6923,9.2475,0.2568,-0.4872,-0.0765,-0.0117,-0.0075,0,718,-39.54,29.22,-53.88,32.69,-15.73,-11.43,3.1,987.86,51.676,42.394703,-83.281746,535.48,623.6539435,,0,14.680644,,0 / 20,516,2018-07-24 07:55:33:169
2.0195,2.1967,9.1219,1.8562,2.607,9.2698,0.1633,-0.4104,-0.1478,0.0053,-0.0202,0.0138,692,-36.48,25.98,-55.2,30.66,-15.53,-11.3,3.1,987.87,51.293,42.394703,-83.281746,535.48,623.6539435,,0,14.680644,,0 / 20,1016,2018-07-24 07:55:33:669
1.889,2.211,8.9579,1.7855,2.4996,9.3131,0.1036,-0.2886,-0.3552,-0.032,-0.0043,-0.0107,696,-36.24,26.16,-56.16,31.15,-14.83,-10.91,3.1,987.85,48.29,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,1516,2018-07-24 07:55:34:169
1.9692,1.8878,9.5098,1.8392,2.3034,9.3532,0.6076,0.0429,-0.2971,-0.2312,-0.115,-0.3196,707,-36.24,26.4,-56.28,31.94,-13.79,-10.76,3.1,987.86,48.34,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,2016,2018-07-24 07:55:34:669
2.9485,1.7753,8.0457,2.2192,2.9305,9.0916,1.1757,-0.3854,-1.7821,0.9374,-0.3782,-0.2567,749,-39.12,24.18,-55.68,36.54,-14.46,-10,3.1,987.83,48.864,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,2516,2018-07-24 07:55:35:169
-0.7338,2.496,9.8605,0.4388,3.7487,9.0512,-1.1726,-1.2528,0.8093,-0.2205,1.1292,0.0543,484,-48,6.36,-54.78,52.28,-22.98,-9.31,3.1,987.86,57.799,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,3016,2018-07-24 07:55:35:669
-7.1563,-0.1927,10.7272,-1.3619,3.0217,9.2296,-3.4947,-3.7543,1.9909,0.2152,0.1523,-0.2951,435,-24.6,10.38,-69.36,54.24,-16.01,10.82,3.1,987.79,57.383,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,3515,2018-07-24 07:55:36:168
-0.2286,3.5662,8.2768,-0.6634,3.8579,8.9915,0.4348,-0.2917,-0.7148,-0.3473,0.0703,0.0597,437,-17.88,7.14,-74.22,35.11,-22.95,4.95,3.1,987.81,51.904,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,4016,2018-07-24 07:55:36:669
-0.4956,4.4772,8.8131,-1.3965,3.0584,9.2123,0.9009,1.4187,-0.3992,1.2996,0.3835,2.0496,597,-20.82,12.84,-73.38,41.15,-17.3,6.46,3.1,987.8,56.778,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,4516,2018-07-24 07:55:37:169
-0.2179,3.0478,8.2468,-0.663,4.1162,8.8762,1.173,-0.7955,-0.1266,-0.114,0.0746,0.1854,613,-1.8,17.46,-74.94,5.18,-25.89,1.8,3.1,987.8,55.253,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,5016,2018-07-24 07:55:37:669
0.0611,2.6181,6.2369,0.843,1.9932,9.5649,0.0656,1.4736,1.9405,-1.061,-0.5294,-1.7651,998,15.54,21.72,-70.92,343.61,-10.58,4.6,3.1,987.86,60.941,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,5516,2018-07-24 07:55:38:169
1.2498,4.1049,12.4068,1.04,1.9368,9.5571,-7.824,10.4651,-16.1411,0.7436,-1.9164,-0.5135,237,2.1,29.76,-59.1,342.46,-10.25,-10.36,3.1,987.85,65.385,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,6016,2018-07-24 07:55:38:669
-2.0291,2.3463,8.8825,0.3258,4.0561,8.9226,-1.7659,-0.8718,-3.0364,1.8823,-1.5436,0.4602,50,-7.5,12.72,-49.32,358.52,-26.85,-9.15,3.1,987.86,65.902,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,6515,2018-07-24 07:55:39:168
-2.5055,-0.0395,8.594,-0.3099,1.0308,9.7474,-2.3404,-0.3173,-3.2795,-0.8341,0.0852,-0.163,28,-1.86,9.24,-42.96,350.49,-6.86,-5.8,0,987.84,62.891,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,7016,2018-07-24 07:55:39:669
-1.0546,-1.1899,10.2747,0.214,-0.0926,9.8039,-1.7092,-1.3379,-1.3164,-0.0234,0.0117,0.0064,136,-11.88,22.38,-26.04,28.35,2.2,-1.5,3.1,987.9,64.544,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,7516,2018-07-24 07:55:40:169
-1.3611,-1.1612,9.3996,-0.2374,-0.3847,9.7962,-1.1237,-0.7764,-0.3966,-0.0011,0.0011,0.0011,391,-25.62,18.66,-17.82,54.87,1.77,0.69,3.1,987.85,57.262,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,8015,2018-07-24 07:55:40:668
-1.2653,-1.1672,9.4379,-0.7078,-0.7531,9.752,-0.3744,-0.5421,-0.1441,0.0011,-0.0107,0.0032,290,-25.68,16.68,-16.62,59.73,4.28,3.95,3.1,987.84,57.052,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,8516,2018-07-24 07:55:41:169
-1.3755,-1.2175,9.5421,-0.9061,-0.9172,9.7215,-0.4694,-0.3003,-0.1794,0.0021,-0.0096,0,1,-25.68,16.86,-16.2,60.18,5.29,5.23,3.1,987.85,67.336,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,9016,2018-07-24 07:55:41:669
-1.2857,-1.2665,9.3996,-1.0505,-1.014,9.6973,-0.2352,-0.2525,-0.2977,0.0011,-0.0085,0.0011,2,-26.1,17.22,-16.26,60.54,5.88,6.1,3.1,987.87,65.794,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,9516,2018-07-24 07:55:42:169
-1.3024,-1.1636,9.4439,-1.1258,-1.0682,9.6831,-0.258,-0.1816,-0.2356,-0.0011,0.0064,0,28,-25.92,17.16,-15.78,60.74,6.23,6.58,3.1,987.87,62.779,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,10016,2018-07-24 07:55:42:669
-1.3683,-1.1492,9.4763,-1.171,-1.0942,9.6748,-0.1375,-0.1161,-0.1615,0.0021,-0.0021,0.0011,4,-25.74,17.16,-15.78,60.85,6.41,6.88,3.1,987.83,61.851,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,10516,2018-07-24 07:55:43:169
-1.3874,-1.1696,9.5122,-1.2123,-1.1115,9.6678,-0.1752,-0.0581,-0.1556,0.0032,-0.0128,0.0021,0,-26.16,17.1,-15.84,60.9,6.48,7.11,3.1,987.83,65.844,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,11016,2018-07-24 07:55:43:669
-1.3946,-1.2234,9.3829,-1.2199,-1.1113,9.6668,-0.2166,-0.142,-0.2037,-0.0032,0.0149,0,0,-26.4,17.1,-16.2,60.91,6.5,7.16,3.1,987.85,47.632,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,11516,2018-07-24 07:55:44:169
-1.4281,-1.2582,9.4583,-1.239,-1.1273,9.6625,-0.0982,-0.0519,-0.3407,0.0053,0.0053,0,0,-26.46,17.04,-16.38,60.96,6.59,7.29,3.1,987.86,50.289,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,12016,2018-07-24 07:55:44:669
-1.4269,-1.1337,9.3781,-1.2827,-1.1522,9.6539,-0.1443,0.0185,-0.2758,0.0021,0.0075,0,0,-26.46,17.1,-16.26,61.04,6.73,7.49,3.1,987.89,64.222,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,12516,2018-07-24 07:55:45:169
-1.2414,-1.2366,9.4595,-1.3,-1.1621,9.6504,-0.2047,-0.0876,-0.2124,-0.0021,0.0107,0,0,-26.22,17.1,-16.2,61.07,6.78,7.64,3.1,987.86,61.216,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,13016,2018-07-24 07:55:45:669
-1.4078,-1.2546,9.5385,-1.3107,-1.1706,9.6479,-0.0312,-0.0756,-0.1537,0.0011,-0.017,-0.0011,0,-26.04,17.1,-16.14,61.11,6.84,7.72,3.1,987.86,57.454,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,13516,2018-07-24 07:55:46:169
-1.3982,-1.2222,9.4846,-1.3205,-1.1772,9.6458,0.0947,0.0052,-0.2174,0.0032,-0.0096,0.0011,0,-25.8,17.1,-16.26,61.13,6.89,7.79,3.1,987.84,57.88,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,14016,2018-07-24 07:55:46:669
-1.3743,-1.2366,9.4954,-1.3296,-1.1849,9.6436,-0.1057,-0.0027,-0.0572,-0.0021,-0.0021,0,0,-26.16,16.86,-16.26,61.15,6.94,7.85,3.1,987.85,60.609,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,14515,2018-07-24 07:55:47:168
-1.1349,-1.2019,9.4224,-1.3626,-1.195,9.6377,0.3092,-0.0775,0.0229,-0.0085,-0.0096,0.0021,0,-26.22,16.74,-16.08,61.19,7.02,7.95,3.1,987.86,61.583,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,15016,2018-07-24 07:55:47:669
-1.4281,-1.1241,9.4152,-1.3604,-1.2071,9.6365,-0.0678,0.083,-0.2213,0.0021,0.0064,0,284,-26.22,17.1,-16.08,61.22,7.07,7.98,3.1,987.86,43.966,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,15516,2018-07-24 07:55:48:169
-1.3623,-1.1947,9.5337,-1.3664,-1.2074,9.6356,-0.0976,-0.0352,-0.1941,-0.0053,0.0053,0,315,-26.1,17.04,-16.92,61.54,7.07,8.07,3.1,987.86,51.406,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,16016,2018-07-24 07:55:48:669
-1.3647,-1.2378,9.4619,-1.3695,-1.2083,9.6351,0.0048,-0.0295,-0.1732,-0.0021,0,0.0011,318,-25.74,17.16,-16.8,61.54,7.08,8.09,3.1,987.88,45.311,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,16516,2018-07-24 07:55:49:169
-1.3731,-1.154,9.5337,-1.3713,-1.2093,9.6347,0.0497,0.0553,-0.1405,0.0043,-0.0117,-0.0011,317,-25.8,17.1,-16.5,61.23,7.08,8.09,3.1,987.83,48.714,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,17015,2018-07-24 07:55:49:668
-1.3623,-1.1863,9.4834,-1.3732,-1.2104,9.6343,0.0408,0.0301,-0.1401,-0.0011,0.0032,0,316,-25.8,16.98,-16.5,61.24,7.09,8.11,3.1,987.88,56.087,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,17515,2018-07-24 07:55:50:168
-1.3755,-1.233,9.4882,-1.3751,-1.2116,9.6339,0.0367,0.0181,-0.1624,0,0.0075,0.0011,316,-25.5,16.62,-16.56,60.71,7.1,8.12,3.1,987.88,62.958,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,18016,2018-07-24 07:55:50:669
-1.3312,-1.1983,9.4056,-1.3766,-1.2132,9.6335,0.0286,0.0017,-0.1464,-0.0021,0.0053,-0.0011,316,-25.32,16.86,-16.62,60.72,7.11,8.13,3.1,987.88,60.547,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,18516,2018-07-24 07:55:51:169
-1.4844,-1.2821,9.3889,-1.377,-1.2148,9.6332,-0.1002,0.068,-0.2012,0.0043,0.0107,0,296,-25.38,16.8,-16.68,60.73,7.12,8.14,3.1,987.87,53.411,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,19017,2018-07-24 07:55:51:670
-1.4593,-1.1624,9.663,-1.3441,-1.2553,9.6326,0.0513,0.0678,-0.4257,0.0075,0.0032,-0.0021,0,-25.62,17.04,-16.92,61.64,7.33,7.95,3.1,987.85,73.002,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,19516,2018-07-24 07:55:52:169
-1.3791,-1.2019,9.6223,-1.3349,-1.2514,9.6344,-0.1614,0.004,-0.333,0.0245,-0.0107,-0.0053,0,-25.86,17.22,-16.5,61.3,7.3,7.82,3.1,987.86,56.9,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,20016,2018-07-24 07:55:52:669
-1.2749,-1.0786,9.5086,-1.326,-1.236,9.6376,-0.1105,-0.0496,-0.153,-0.0043,-0.0064,0,0,-25.98,17.52,-16.44,59.74,7.25,7.89,3.1,987.88,63.464,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,20516,2018-07-24 07:55:53:169
-1.4892,-1.2043,9.5445,-1.3345,-1.2361,9.6365,-0.0625,0.0271,-0.1435,0,-0.016,0.0011,0,-25.98,17.52,-16.74,60.05,7.24,7.87,3.1,987.89,59.237,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,21016,2018-07-24 07:55:53:669
-1.4832,-1.1791,9.5289,-1.3468,-1.2314,9.6354,0.0851,0.1085,-0.1005,0.0021,-0.0117,-0.0011,0,-25.98,17.28,-16.2,61.27,7.21,7.95,3.1,987.88,56.879,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,21516,2018-07-24 07:55:54:169
-1.4784,-1.2857,9.4942,-1.3543,-1.2277,9.6348,-0.0319,0.0857,-0.0951,-0.0021,0.0032,0,0,-25.92,17.46,-15.9,61.27,7.2,8,3.1,987.87,62.153,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,22016,2018-07-24 07:55:54:669
-1.409,-1.1696,9.3829,-1.3661,-1.2263,9.6333,-0.1064,0.1501,0.1614,-0.0043,-0.0117,0,0,-25.92,17.46,-16.02,61.28,7.18,8.13,3.1,987.89,62.664,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,22516,2018-07-24 07:55:55:169
-1.5048,-1.2175,9.4751,-1.3657,-1.2226,9.6338,0.0525,0.053,-0.1396,0.0032,-0.0096,0,0,-26.1,17.46,-16.14,61.26,7.17,8.06,3.1,987.88,61.981,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,23016,2018-07-24 07:55:55:669
-1.4305,-1.2426,9.4894,-1.3706,-1.2205,9.6334,0.0023,0.0353,-0.2517,0,0.0043,0,0,-26.16,17.46,-16.08,61.26,7.16,8.09,3.1,987.86,54.877,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,23516,2018-07-24 07:55:56:169
-1.312,-1.2007,9.4355,-1.3766,-1.218,9.6329,0.0646,0.0173,-0.1973,0.0032,-0.0032,0.0011,0,-26.22,17.52,-16.14,59.72,7.14,8.13,3.1,987.87,54.204,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,24016,2018-07-24 07:55:56:669
-1.3922,-1.1815,9.4655,-1.3826,-1.2167,9.6322,0.0538,-0.0044,-0.1882,0.0011,-0.0085,0.0011,0,-26.52,17.58,-16.44,60.55,7.13,8.16,3.1,987.87,62.374,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,24516,2018-07-24 07:55:57:169
-1.2893,-1.1827,9.4164,-1.3861,-1.2135,9.632,0.0969,0.0308,-0.2156,0.0032,-0.0096,0.0011,0,-26.64,17.46,-16.26,62.06,7.11,8.18,3.1,987.88,60.998,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,25016,2018-07-24 07:55:57:669
-1.4856,-1.1636,9.4667,-1.3896,-1.2128,9.6316,0.0022,-0.0514,-0.1985,0,-0.0053,0.0021,0,-26.4,16.92,-16.32,61.25,7.11,8.2,3.1,987.87,60.338,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,25516,2018-07-24 07:55:58:169
-1.245,-1.1911,9.4499,-1.3962,-1.2126,9.6307,0.0195,-0.0863,-0.1365,-0.0021,-0.0117,0.0011,0,-25.62,15.12,-16.5,64.47,7.1,8.24,3.1,987.84,59.758,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,26016,2018-07-24 07:55:58:669
-1.2977,-1.2486,9.4439,-1.3985,-1.2119,9.6305,0.1008,-0.0367,-0.1865,-0.0011,-0.0053,0.0011,0,-25.44,14.82,-16.62,64.02,7.1,8.26,3.1,987.86,60.263,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,26515,2018-07-24 07:55:59:168
-1.4868,-1.2067,9.4942,-1.39,-1.1998,9.6332,-0.0968,-0.0069,-0.139,-0.0043,0.0107,0.0011,0,-25.56,14.82,-16.8,64.75,7.04,8.22,3.1,987.88,58.653,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,27016,2018-07-24 07:55:59:669
-1.385,-1.2965,9.5385,-1.3923,-1.2005,9.6328,0.0204,-0.1187,-0.2104,-0.0011,0.0064,0.0011,0,-26.22,15.54,-16.56,63.12,7.03,8.22,3.1,987.86,61.231,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,27515,2018-07-24 07:56:00:168
-1.3695,-1.6628,9.3374,-1.3952,-1.259,9.6249,0.0257,-0.4037,-0.2875,-0.0011,-0.0011,0,0,-26.16,16.62,-15.78,61.33,7.3,8.24,3.1,987.88,59.106,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,28016,2018-07-24 07:56:00:669
-1.4964,-1.9692,9.4439,-1.386,-1.4567,9.5983,-0.011,-0.4491,-0.2477,0.0043,-0.0181,0,0,-26.22,16.8,-14.94,61.41,8.41,8.18,3.1,987.87,56.945,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,28516,2018-07-24 07:56:01:169
-1.3599,-1.664,9.487,-1.3719,-1.5814,9.5806,0.0072,-0.2202,-0.1977,0.0011,-0.0011,0.0075,0,-26.28,16.92,-15.06,61.72,9.22,8.14,3.1,987.91,55.804,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,29016,2018-07-24 07:56:01:669
-1.3479,-1.8375,9.3853,-1.3637,-1.6129,9.5765,0.0158,-0.2247,-0.1912,0.0064,-0.017,0,0,-26.22,17.04,-15.06,61.81,9.45,8.09,3.1,987.86,58.704,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,29516,2018-07-24 07:56:02:169
-1.5203,-2.0818,9.2955,-1.3127,-1.6454,9.5781,-0.0436,-0.4531,-0.5124,0.016,-0.0692,-0.0394,0,-26.34,17.64,-15.06,60.3,9.62,7.78,3.1,987.85,57.833,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,30016,2018-07-24 07:56:02:669
-1.3671,-1.4856,9.1794,-1.2096,-1.6138,9.597,-0.1694,0.1354,-0.2237,0.0234,0.016,-0.0437,0,-26.46,17.46,-15.06,61.77,9.49,7.02,3.1,987.86,57.89,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,30516,2018-07-24 07:56:03:169
-1.482,-1.3443,9.262,-1.2612,-1.5379,9.6029,-0.2208,0.1935,-0.3409,0.0362,-0.0245,-0.0469,0,-26.7,15.96,-14.94,64.02,9.13,7.48,3.1,987.86,59.434,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,31016,2018-07-24 07:56:03:669
-0.8356,-1.3707,8.5677,-1.246,-1.3644,9.631,-0.558,-0.126,-0.0219,0.0373,0.0383,0,0,-27.18,15.84,-14.82,63.64,8.13,7.44,3.1,987.88,59.749,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,31516,2018-07-24 07:56:04:169
-0.9146,-1.336,9.7061,-1.3713,-1.3016,9.6227,0.3705,0.0266,-0.0135,-0.0138,-0.0192,0.0937,0,-27.36,15.24,-14.7,65.1,7.66,8.22,3.1,987.89,60.538,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Oct,32016,2018-07-24 07:56:04:669
-1.5874,-1.142,12.5899,-1.3624,-1.0938,9.6498,-0.2249,-0.0482,2.9402,-0.032,-0.0011,0.1204,0,-27.24,14.64,-14.94,64.77,6.9,7.24,3.1,987.91,62.222,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,32516,2018-07-24 07:56:05:169
-1.4246,-0.9601,9.7504,-1.3975,-1.5446,9.5829,-0.1779,0.3415,0.0598,-0.0937,-0.0234,0.2194,0,-26.88,14.7,-16.08,65.88,8.8,8.31,3.1,987.91,59.445,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,33016,2018-07-24 07:56:05:669
-0.3005,-1.4832,9.3158,-1.2778,-1.7781,9.5591,0.9773,0.2949,-0.2432,-0.1182,-0.1161,0.3111,0,-26.04,16.86,-15.6,62.51,10.18,8.62,3.1,987.91,61.833,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,33516,2018-07-24 07:56:06:169
-0.3675,-1.6975,9.4583,-1.553,-1.6893,9.5344,1.1855,-0.0082,-0.0761,-0.0117,-0.0394,0.3377,0,-23.4,19.92,-14.94,54.76,10.06,9.39,3.1,987.92,64.755,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,34016,2018-07-24 07:56:06:669
-0.7901,-0.6764,9.3434,-1.6111,-1.552,9.5481,0.8366,0.6937,-0.0132,-0.0021,-0.0639,0.2258,0,-19.44,20.34,-14.64,49.91,9.19,9.71,3.1,987.93,63.356,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,34516,2018-07-24 07:56:07:169
-0.8859,0.3232,9.5589,-1.434,-1.2039,9.6263,0.5482,1.5271,-0.0674,-0.0128,-0.016,0.1225,0,-16.5,19.56,-13.38,44.01,7.73,8.73,3.1,987.92,58.421,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,35016,2018-07-24 07:56:07:669
-1.2103,0.0826,9.6367,-1.3236,-0.5841,9.6993,0.1133,0.6667,-0.0627,-0.0021,-0.0469,0.0437,0,-16.08,18.78,-13.56,44.3,3.74,7.82,3.1,987.96,58.537,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,35516,2018-07-24 07:56:08:169
-1.2953,-0.0646,9.6319,-1.2619,-0.3519,9.7187,-0.0321,0.3926,-0.0246,-0.0043,0.0107,0.0138,0,-14.28,18.48,-13.62,41.8,2.14,7.35,3.1,987.91,59.371,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,36016,2018-07-24 07:56:08:669
-1.4162,-1.5335,9.3326,-1.348,-0.6928,9.6888,-0.0681,-0.8407,-0.3562,-0.0064,0.0128,0.0043,0,-13.98,18.06,-13.68,42.58,3.81,7.83,3.1,987.93,70.154,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,36516,2018-07-24 07:56:09:169
-1.3982,-1.2019,9.5086,-1.3784,-0.909,9.6667,-0.1863,-0.3168,-0.1425,0.0053,-0.0096,0.0021,0,-13.92,17.64,-13.56,43.23,5.22,8.12,3.1,987.92,64.501,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,37016,2018-07-24 07:56:09:669
-1.4449,0.4262,9.9323,-1.3556,-0.8983,9.6709,0.137,1.0874,-0.5202,0.0533,-0.0053,-0.0128,0,-14.4,19.5,-13.5,39.76,5.53,8.09,3.1,987.95,57.729,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,37516,2018-07-24 07:56:10:169
-1.6879,-0.2646,9.9563,-1.4461,-0.6426,9.6781,-0.2418,0.3781,0.2782,-0.0138,0.0501,0.0138,0,-14.82,19.92,-13.5,41,3.81,8.36,3.1,987.9,62.879,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,38016,2018-07-24 07:56:10:669
-1.8064,-0.4812,9.3266,-1.6044,-0.6005,9.6559,-0.202,0.1193,-0.3293,0.0011,-0.0288,0.082,0,-15.24,19.38,-13.32,42.72,3.55,9.39,3.1,987.95,60.624,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,38516,2018-07-24 07:56:11:169
-2.1787,-0.5004,9.5158,-1.6756,-0.5883,9.6445,-0.2937,-0.0533,-0.0761,-0.0426,0.0107,0.1619,0,-14.76,19.32,-13.44,42.8,3.46,9.77,3.1,987.89,59.94,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,39016,2018-07-24 07:56:11:669
-2.5079,-0.4082,9.7995,-1.8115,-0.5403,9.6227,-0.5648,0.3104,-0.1381,-0.0586,-0.0064,0.2525,0,-13.02,20.22,-13.74,38.49,3.14,10.76,3.1,987.94,57.834,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,39517,2018-07-24 07:56:12:170
-2.5726,-0.0862,8.8131,-1.7317,-0.5085,9.6391,-0.8409,0.4223,-0.8261,-0.0618,0.0277,0.3238,0,-11.46,20.16,-13.62,34.45,2.96,10.09,3.1,987.93,60.317,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,40016,2018-07-24 07:56:12:669
-2.7509,-0.3196,9.3051,-1.9895,-0.4874,9.5904,-1.0272,0.3211,-0.4577,-0.0575,-0.0213,0.375,0,-8.22,19.32,-13.2,29.57,2.9,11.59,3.1,987.94,64.978,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,40516,2018-07-24 07:56:13:169
-1.7741,-0.5818,8.6143,-1.9316,-0.3367,9.6086,0.1575,-0.2451,-0.9943,-0.0426,-0.0618,0.3079,0,-6.24,17.58,-12.72,25.73,2.04,11.5,3.1,987.94,64.506,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,20-Dec,41015,2018-07-24 07:56:13:668
-1.9908,-0.407,10.0844,-1.804,-0.3213,9.6339,-0.6596,-0.2784,-0.1661,-0.0383,-0.1012,0.1971,0,-3.6,15.84,-12.78,22.29,1.83,10.95,3.1,987.9,67.229,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,13 / 20,41516,2018-07-24 07:56:14:169
